Species,COX1,COI,internal transcribed spacer 2,16S,28S,18S
Aedes aegypti,MN906913.1,MK533633.1,NA,NA,NA,NA
Aedes albopictus,JX649856.1,NA,NA,KX451139.1,NA,NA
Ochlerotatus annulipes,NA,MG242467.1,NA,NA,MG242544.1,MG232529.1
Aedes atropalpus,NA,NA,NA,NA,NA,NA
Ochlerotatus berlandi,NA,MK402755.1,NA,NA,NA,NA
Ochlerotatus cantans,NA,MK403531.1,NA,NA,NA,NA
Ochlerotatus caspius,NA,MN005053.1,HM140424.1,NA,HM140424.1,MG232540.1
Ochlerotatus cataphylla,NA,KP942760.1,NA,NA,NA,NA
Aedes cinereus,NA,MK403446.1,NA,NA,NA,NA
Ochlerotatus communis,NA,KM947767.1,NA,NA,NA,NA
Aedes cretinus,NA,AY748240.1,MH142328.1,NA,AY271353.1,NA
Ochlerotatus cyprius,NA,KC855633.1,NA,NA,NA,NA
Ochlerotatus detritus,NA,MK402827.1,MN947511.1,NA,MG242563.1,MG232548.1
Ochlerotatus diantaeus,NA,JF876480.1,MG232617.1,NA,MG242564.1,MG232549.1
Ochlerotatus dorsalis,NA,KM638503.1,NA,NA,NA,NA
Ochlerotatus eatoni,NA,KT220583.1,NA,KT223094.1,NA,NA
Aedes echinus,NA,MK070853.1,NA,NA,NA,NA
Ochlerotatus euedes,NA,JF867047.1,NA,NA,NA,NA
Ochlerotatus excrucians,NA,KM569933.1,NA,NA,NA,NA
Ochlerotatus flavescens,NA,MK403514.1,NA,NA,NA,NA
Aedes geminus,NA,NA,NA,NA,NA,NA
Aedes geniculatus,NA,MK403092.1,MG232621.1,NA,MG242573.1,MG232558.1
Ochlerotatus hexodontus,NA,KM569894.1,NA,NA,NA,NA
Ochlerotatus hungaricus,NA,KT876495.1,NA,NA,NA,NA
Ochlerotatus intrudens,NA,MG242502.1,MG232624.1,NA,MG242579.1,MG232564.1
Aedes japonicus,NA,MN509209.1,MG232625.1,NA,MG242580.1,MG232565.1
Aedes koreicus,NA,MF284799.1,MK765861.1,KX357716.1,KF471636.1,NA
Ochlerotatus leucomelas,NA,KP942730.1,NA,NA,NA,NA
Acartomyia mariae,NA,AF253033.1,NA,NA,NA,NA
Ochlerotatus nigrinus,NA,KP942770.1,NA,NA,NA,NA
Ochlerotatus nigripes,NA,KR395472.1,NA,NA,NA,NA
Acartomyia phoeniciae,NA,KX009737.1,KX009741.1,NA,NA,NA
Ochlerotatus pionips,NA,JN302862.1,KF535065.1,NA,KF535065.1,NA
Ochlerotatus pulcritarsis,NA,KJ768189.1,NA,NA,NA,NA
Ochlerotatus pullatus,NA,JF868945.1,NA,NA,NA,NA
Ochlerotatus punctor,NA,MK403518.1,MG232632.1,NA,MG242588.1,MG232572.1
Ochlerotatus refiki,NA,KY646206.1,NA,NA,NA,NA
Ochlerotatus riparius,NA,JF876874.1,NA,NA,NA,NA
Aedes rossicus,NA,KP942733.1,NA,NA,NA,NA
Ochlerotatus rusticus,NA,MK403533.1,NA,NA,NA,NA
Ochlerotatus sticticus,NA,MK403532.1,NA,NA,NA,NA
Aedes vexans,NA,MK402915.1,NA,NA,NA,NA
Aedes vittatus,NA,LC507873.1,NA,NA,MG242604.1,MG232588.1
Acartomyia zammitii,NA,KX009740.1,KX009742.1,NA,NA,NA
Anopheles ainshamsi,NA,FJ526394.1,NA,NA,FJ526498.1,NA
Anopheles algeriensis,NA,MK402867.1,MK412760.1,NA,NA,NA
Anopheles apoci,NA,JF966747.1,AY445826.1,NA,AY445826.1,NA
Anopheles arabiensis,NA,MK628500.1,MN335040.1,NA,MK628507.1,NA
Anopheles atroparvus,NA,MK402926.1,MK412767.1,NA,NA,NA
Anopheles cinereus,NA,KM068089.1,MN460356.1,NA,NA,NA
Anopheles claviger,NA,MK402896.1,MK625346.1,NA,KP749464.1,NA
Anopheles coluzzii,NA,MK585948.1,MN545864.1,NA,NA,NA
Anopheles coustani,NA,MK016631.1,MN545862.1,NA,KJ522815.1,NA
Anopheles culicifacies,NA,LR736009.1,MH187964.1,NA,MK377012.1,NA
Anopheles daciae,NA,NA,MN840073.1,NA,LT900210.1,NA
Anopheles dthali,NA,KM068084.1,KM068086.1,NA,JF966738.1,NA
Anopheles fluviatilis,NA,MH294482.1,NA,NA,MK281599.1,NA
Anopheles hyrcanus,NA,MK562402.1,MK562396.1,NA,MK562396.1,NA
