Species,Cytochrome c oxidase subunit I,COX1,CO1,COI,COI_copy
Aedes aegypti,NA,MN906913.1,NA,LR736011.1,MN906913.1
Aedes albopictus,NA,MN909291.1,NA,MN005056.1,MN005056.1
Ochlerotatus annulipes,NA,NA,NA,MG242467.1,MG242467.1
Aedes atropalpus,NA,NA,NA,NA,NA
Ochlerotatus berlandi,NA,NA,NA,MK402755.1,MK402755.1
Ochlerotatus cantans,NA,NA,NA,MK403531.1,MK403531.1
Ochlerotatus caspius,NA,NA,NA,MN005053.1,MN005053.1
Ochlerotatus cataphylla,NA,NA,NA,KP942760.1,KP942760.1
Aedes cinereus,NA,NA,NA,MK403446.1,MK403446.1
Ochlerotatus communis,NA,NA,NA,KM947767.1,KM947767.1
Aedes cretinus,NA,NA,NA,AY748240.1,AY748240.1
Ochlerotatus cyprius,NA,NA,NA,KC855633.1,KC855632.1
Ochlerotatus detritus,NA,NA,NA,MK402827.1,MK402827.1
Ochlerotatus diantaeus,NA,NA,NA,JF876480.1,JF876480.1
Ochlerotatus dorsalis,NA,NA,NA,KM638503.1,KM638503.1
Ochlerotatus eatoni,NA,NA,NA,KT220583.1,KT220582.1
Aedes echinus,NA,NA,NA,MK070853.1,MK070853.1
Ochlerotatus euedes,NA,NA,NA,JF867047.1,JF867047.1
Ochlerotatus excrucians,NA,NA,NA,KM569933.1,KM569933.1
Ochlerotatus flavescens,NA,NA,NA,MK403514.1,MK403514.1
Aedes geminus,NA,NA,NA,NA,NA
Aedes geniculatus,NA,NA,KM280584.1,MK403092.1,MK403092.1
Ochlerotatus hexodontus,NA,NA,NA,KM569894.1,KM569894.1
Ochlerotatus hungaricus,NA,NA,NA,KT876495.1,KT876495.1
Ochlerotatus intrudens,NA,NA,NA,MG242502.1,MG242502.1
Aedes japonicus,NA,NA,NA,MN509209.1,MN509209.1
Aedes koreicus,NA,NA,NA,MF284799.1,MF284799.1
Ochlerotatus leucomelas,NA,NA,NA,KP942730.1,KP942730.1
Acartomyia mariae,NA,NA,NA,AF253033.1,AF253032.1
Ochlerotatus nigrinus,NA,NA,NA,KP942770.1,KP942770.1
Ochlerotatus nigripes,NA,NA,NA,KR395472.1,KR395472.1
Acartomyia phoeniciae,NA,NA,NA,KX009737.1,KX009737.1
Ochlerotatus pionips,NA,NA,NA,JN302862.1,JN302862.1
Ochlerotatus pulcritarsis,NA,NA,NA,KJ768189.1,KJ768189.1
Ochlerotatus pullatus,NA,NA,NA,JF868945.1,JF868945.1
Ochlerotatus punctor,NA,NA,NA,MK403518.1,MK403518.1
Ochlerotatus refiki,NA,NA,NA,KY646206.1,KY646206.1
Ochlerotatus riparius,NA,NA,NA,JF876874.1,JF876874.1
Aedes rossicus,NA,NA,NA,KP942733.1,KP942733.1
