"","Aedes aegypti","Aedes albopictus","Ochlerotatus annulipes","Aedes atropalpus","Ochlerotatus berlandi","Ochlerotatus cantans","Ochlerotatus caspius","Ochlerotatus cataphylla","Aedes cinereus","Ochlerotatus communis","Aedes cretinus","Ochlerotatus cyprius","Ochlerotatus detritus","Ochlerotatus diantaeus","Ochlerotatus dorsalis","Ochlerotatus eatoni","Aedes echinus","Ochlerotatus euedes","Ochlerotatus excrucians","Ochlerotatus flavescens","Aedes geminus","Aedes geniculatus","Ochlerotatus hexodontus","Ochlerotatus hungaricus","Ochlerotatus intrudens","Aedes japonicus","Aedes koreicus","Ochlerotatus leucomelas","Acartomyia mariae","Ochlerotatus nigrinus","Ochlerotatus nigripes","Acartomyia phoeniciae","Ochlerotatus pionips","Ochlerotatus pulcritarsis","Ochlerotatus pullatus","Ochlerotatus punctor","Ochlerotatus refiki","Ochlerotatus riparius","Aedes rossicus","Ochlerotatus rusticus","Ochlerotatus sticticus","Aedes vexans","Aedes vittatus","Acartomyia zammitii","Anopheles ainshamsi","Anopheles algeriensis","Anopheles apoci","Anopheles arabiensis","Anopheles atroparvus","Anopheles cinereus","Anopheles claviger","Anopheles coluzzii","Anopheles coustani","Anopheles culicifacies","Anopheles daciae","Anopheles dthali","Anopheles fluviatilis","Anopheles hyrcanus","Anopheles labranchiae","Anopheles maculipennis","Anopheles melanoon","Anopheles messeae","Anopheles multicolor","Anopheles persiensis","Anopheles petragnani","Anopheles pharoensis","Anopheles plumbeus","Anopheles pulcherrimus","Anopheles sacharovi","Anopheles stephensi","Anopheles superpictus","Anopheles tenebrosus","Anopheles turkhudi","Anopheles ziemanni","Coquillettidia buxtoni","Coquillettidia richiardii","Culex antennatus","Culex deserticola","Culex duttoni","Culex europaeus","Culex hortensis","Culex impudicus","Culex laticinctus","Culex martinii","Culex mimeticus","Culex modestus","Culex perexiguus","Culex pipiens","Culex poicilipes","Culex pseudovishnui","Culex quinquefasciatus","Culex simpsoni","Culex sinaiticus","Culex sitiens","Culex territans","Culex thalassius","Culex theileri","Culex torrentium","Culex tritaeniorhynchus","Culex univittatus","Culex vagans","Culiseta alaskaensis","Culiseta annulata","Culiseta bergrothi","Culiseta fumipennis","Culiseta glaphyroptera","Culiseta litorea","Culiseta longiareolata","Culiseta morsitans","Culiseta ochroptera","Culiseta subochrea","Orthopodomyia pulcripalpis","Uranotaenia balfouri","Uranotaenia unguiculata"
"Aedes aegypti",0,27.7389082590444,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Aedes albopictus",27.7389082590444,0,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Ochlerotatus annulipes",59.7379933125775,59.7379933125775,0,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,27.7389082590444,59.7379933125775,52.3697829384087,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Aedes atropalpus",52.3697829384087,52.3697829384087,59.7379933125775,0,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Ochlerotatus berlandi",59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,0,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,27.7389082590444,59.7379933125775,52.3697829384087,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Ochlerotatus cantans",59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,0,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,27.7389082590444,59.7379933125775,52.3697829384087,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Ochlerotatus caspius",59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,0,27.7389082590444,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,27.7389082590444,59.7379933125775,52.3697829384087,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Ochlerotatus cataphylla",59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,0,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,27.7389082590444,59.7379933125775,52.3697829384087,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Aedes cinereus",52.3697829384087,52.3697829384087,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,0,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,27.7389082590444,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,59.7379933125775,52.3697829384087,52.3697829384087,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
"Ochlerotatus communis",59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,0,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,59.7379933125775,59.7379933125775,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,59.7379933125775,27.7389082590444,27.7389082590444,27.7389082590444,27.7389082590444,52.3697829384087,27.7389082590444,59.7379933125775,52.3697829384087,27.7389082590444,59.7379933125775,59.7379933125775,59.7379933125775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202,83.4215266581202
