"","KY225559","MK412767","JN112985","MG589413","AY842519","MK418782","MK418782","MN840073","MN481113","MG232621","MK765861","MG232625","MG232624","MH142328","MG232617","MK972064","MK972103","MK972128","AY445826","MN460356","AY842518","KY399843","MF288845","MK412765","AY129233","AY564229","FJ867653","KU056610","MK129245","KM068086","MF288853","MK562396","MK625346","MF288846","MF288848","KR014827","KF483838","MK412760","MG589414","MH187964","AY456391","MG232632","MK861166","MN335040","MG954356","HM140424","KX009741","MN947511","KF535065","KX009742"
"KY225559",0,0.534900906869648,0.4840789450783,0.494594435789545,0.475461701703969,0.5,0.499322033586474,0.462105687767059,0.462910049886276,0.725992787199382,0.716472842006823,0.718070330817254,0.707106781186548,0.704807240849047,0.695177225939317,0.731261377632457,0.734188979247898,0.718838385546651,0.734630886692453,0.74070820749378,0.727606875108999,0.692266730991069,0.775331929653101,0.688247201611685,0.674972142054873,0.710669054518701,0.694365074829414,0.796420563700935,0.725381286270334,0.757211704358425,0.731855542858381,0.75739250778755,0.723040941962038,0.702529990176059,0.690281846938746,0.753508418042812,0.710742315593533,0.720360270225197,0.694590627888742,0.759063426413471,0.720360270225197,0.707106781186548,0.678773146414318,0.699584154636159,0.66751646518458,0.645285551227479,0.68502238170035,0.673332166013017,0.674433919009944,0.664057393771218
"MK412767",0.534900906869648,0,0.397733692808995,0.383265776410093,0.4485155301191,0.401147778542877,0.40172538543462,0.408248290463863,0.408826136882539,0.707106781186548,0.707106781186548,0.695608343640252,0.704360725060499,0.67710542812574,0.692275438693926,0.740115329281148,0.717821130625533,0.705781368997489,0.739420184760822,0.763762615825973,0.748794792729288,0.70952424731946,0.749030380977906,0.719270573378827,0.685860761688315,0.717740562565273,0.708719341504683,0.802856346585746,0.735364446764472,0.758616224120323,0.715678085420547,0.754330222453696,0.709124208342335,0.725604414804963,0.705890775503959,0.753019990534947,0.720718134207309,0.713176478618843,0.72867925133589,0.762312891110207,0.739264247686155,0.707106781186548,0.693451019856407,0.731994958255298,0.697285376694309,0.686754108596198,0.690182114627256,0.701005659540566,0.680365729958356,0.682056790305225
"JN112985",0.4840789450783,0.397733692808995,0,0.27116307227332,0.309383070207441,0.256559515142445,0.256235371595269,0.247234088217074,0.250326157999099,0.694039005276411,0.691973526634884,0.694131242502585,0.680613909729773,0.695379487459148,0.666666666666667,0.737027731190089,0.716316001658632,0.699086407042276,0.712497762259286,0.746753473825359,0.685994340570035,0.648398350106183,0.711755791032712,0.666421523556093,0.657652558006385,0.692107177884331,0.694365074829414,0.776787894748471,0.696365294307218,0.723322802273411,0.709220707520619,0.715037198674811,0.681250735120751,0.708296196293261,0.696595938575114,0.743535828629182,0.689315079991078,0.702427002564251,0.740724352489967,0.761717732328266,0.692218655243173,0.679366220486757,0.658019521535379,0.698136775985332,0.661887632529297,0.647239460260976,0.640452684215284,0.679554280343782,0.641095340995358,0.636509775678082
"MG589413",0.494594435789545,0.383265776410093,0.27116307227332,0,0.34794450031961,0.296680905860489,0.296318878994877,0.28833208618534,0.308408302796687,0.696127745126578,0.694238585152651,0.689644659297497,0.691214711777591,0.68329160482077,0.682425066303351,0.738926430667255,0.720275636462322,0.711098008265029,0.700999637232782,0.747908252807398,0.682412100207641,0.648651893960778,0.698879014284078,0.679366220486757,0.650286352636692,0.68405664362424,0.690997451136744,0.787900067809321,0.702792483553412,0.718648520629196,0.734726485741162,0.710531047127456,0.671189279938938,0.715281697638591,0.705961668238902,0.746547609555702,0.688595769474807,0.698793022512166,0.722857193726757,0.757676760943659,0.689111291345089,0.69200667586131,0.667529665949222,0.718667876340328,0.666400372800773,0.675771164423776,0.652035045529611,0.691873199791814,0.655719015059116,0.649016074494129
"AY842519",0.475461701703969,0.4485155301191,0.309383070207441,0.34794450031961,0,0.305818867724206,0.305452836632267,0.248216386259213,0.254823595718813,0.707106781186548,0.695456778469341,0.696040264416823,0.685674305870756,0.692820323027551,0.676891289781319,0.721283038192221,0.72152564121889,0.701729465267237,0.715831928518932,0.736277979541623,0.66935562409018,0.640003531063705,0.721179937680301,0.680045926730293,0.641929506109236,0.666472840040483,0.687369670715972,0.777130995566168,0.700969346470556,0.732990493981574,0.698836241921708,0.675353821138157,0.656272100052204,0.696595938575114,0.683130051063973,0.747128541953162,0.679520885536112,0.70437487098057,0.716950968748062,0.754931019582039,0.659380473395787,0.690436462652845,0.660431838092288,0.685405150097532,0.665580004710936,0.638188661926801,0.633908897869044,0.665580004710936,0.644857801502328,0.635970595803072
"MK418782",0.5,0.401147778542877,0.256559515142445,0.296680905860489,0.305818867724206,0,0,0.259437260831385,0.272526250165333,0.674578520096275,0.683450995432661,0.679539329476823,0.680413817439772,0.679554280343782,0.669069076854467,0.725476250110012,0.713696921585171,0.692275438693926,0.702013508778269,0.735311100622153,0.660644260800423,0.622978316639378,0.707106781186548,0.692128540205983,0.634532567286635,0.666862716271454,0.68928450016807,0.774596669241483,0.698256535275343,0.731113434577664,0.703007576900271,0.701286873318277,0.643267520902677,0.695379487459148,0.680457572548491,0.74134867318144,0.666421523556093,0.684653196881458,0.7319250547114,0.739843511191814,0.657793514480272,0.679166846683348,0.655783358641787,0.680599191048289,0.652224520695769,0.635538193020902,0.635760659970768,0.661588754825218,0.640642999469072,0.627877989127481
"MK418782",0.499322033586474,0.40172538543462,0.256235371595269,0.296318878994877,0.305452836632267,0,0,0.259125998258803,0.272165526975909,0.67570898547616,0.684728018279078,0.679539329476823,0.680413817439772,0.680864273508603,0.669069076854467,0.724355822800294,0.713696921585171,0.692275438693926,0.702013508778269,0.736128261075423,0.658826804094798,0.622978316639378,0.707106781186548,0.691094740465088,0.634532567286635,0.666862716271454,0.68928450016807,0.774596669241483,0.698256535275343,0.729362262159838,0.703007576900271,0.701286873318277,0.643267520902677,0.694238585152651,0.679366220486757,0.742160453700838,0.666421523556093,0.684653196881458,0.7319250547114,0.739843511191814,0.658826804094798,0.679166846683348,0.655783358641787,0.678594476263445,0.652224520695769,0.635538193020902,0.635760659970768,0.660225291773525,0.640642999469072,0.627877989127481
"MN840073",0.462105687767059,0.408248290463863,0.247234088217074,0.28833208618534,0.248216386259213,0.259437260831385,0.259125998258803,0,0.0710669054518702,0.692505619253409,0.687509134695234,0.676632341305974,0.683309420911114,0.691973526634884,0.677763939434058,0.73251987403323,0.716180933250315,0.692498305662711,0.698556203344276,0.736489275171173,0.674037775704688,0.632455532033676,0.709814283552782,0.680850094596419,0.646162342755964,0.675139951038577,0.691142945727272,0.779505886952059,0.703665851855809,0.734195356263366,0.71518826393724,0.71374642714633,0.661209548957704,0.700274671385889,0.689202437604511,0.75863089400138,0.681069322232874,0.693550761103935,0.722581409811593,0.754473836014722,0.669723384513865,0.692218655243173,0.651820885152696,0.692664685527434,0.665610978487843,0.641095340995358,0.646459935155454,0.666400372800773,0.651488525636001,0.637918539542066
"MN481113",0.462910049886276,0.408826136882539,0.250326157999099,0.308408302796687,0.254823595718813,0.272526250165333,0.272165526975909,0.0710669054518702,0,0.696189389274328,0.695456778469341,0.683880331412088,0.688247201611685,0.690741762894452,0.682425066303351,0.730435887238472,0.716180933250315,0.692498305662711,0.723746864455746,0.743154640956601,0.700546337870635,0.668237143911609,0.741808148788444,0.687430706042257,0.679366220486757,0.704402730053533,0.689446388684396,0.78516066682385,0.713606914551731,0.751655996716936,0.7193343175917,0.73934574074132,0.690980159557318,0.704807240849047,0.693550761103935,0.759154654516248,0.70472994494488,0.707106781186548,0.725800051175056,0.766754255229202,0.696545190318858,0.697004736595727,0.651820885152696,0.696429195236818,0.677307813765247,0.645285551227479,0.663229536225219,0.670699774640088,0.663021353680439,0.655385536415232
"MG232621",0.725992787199382,0.707106781186548,0.694039005276411,0.696127745126578,0.707106781186548,0.674578520096275,0.67570898547616,0.692505619253409,0.696189389274328,0,0.571771874896866,0.616140917022745,0.590986214629709,0.688247201611685,0.616669838844778,0.724461676347959,0.704443469345667,0.682575337167328,0.73621017383231,0.795256205529031,0.747001371969126,0.685588466750517,0.730564398377003,0.730719246553661,0.696813556805532,0.727392967453308,0.708719341504683,0.798859586020371,0.731272424127131,0.738548945875996,0.728093731553645,0.736736553092828,0.69950326148934,0.738750048383706,0.711625081352714,0.748186212580566,0.709459888459759,0.695545673398795,0.75,0.752285893749222,0.73621017383231,0.591312395989083,0.699702317656111,0.717137165600636,0.635538193020902,0.613382118880536,0.610770621715794,0.653230508871003,0.607264986739398,0.613057033378214
