status,rank,division,scientificname,commonname,uid,genus,species,subsp,modificationdate
active,species,mosquitos,Aedes aegypti,yellow fever mosquito,7159,Aedes,aegypti,,2018/10/29 00:00
active,species,mosquitos,Aedes albopictus,Asian tiger mosquito,7160,Aedes,albopictus,,2018/11/26 00:00
active,species,mosquitos,Ochlerotatus annulipes,,866103,Ochlerotatus,annulipes,,2018/10/29 00:00
active,species,mosquitos,Aedes atropalpus,rock-pool mosquito,28624,Aedes,atropalpus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus berlandi,,2579877,Ochlerotatus,berlandi,,2020/01/24 00:00
active,species,mosquitos,Ochlerotatus cantans,,120869,Ochlerotatus,cantans,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus caspius,,120870,Ochlerotatus,caspius,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus cataphylla,,120871,Ochlerotatus,cataphylla,,2018/10/29 00:00
active,species,mosquitos,Aedes cinereus,,120872,Aedes,cinereus,,2005/01/19 00:00
active,species,mosquitos,Ochlerotatus communis,,329099,Ochlerotatus,communis,,2018/10/29 00:00
active,species,mosquitos,Aedes cretinus,,240003,Aedes,cretinus,,2018/11/26 00:00
active,species,mosquitos,Ochlerotatus cyprius,,662895,Ochlerotatus,cyprius,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus detritus,,120873,Ochlerotatus,detritus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus diantaeus,,1129559,Ochlerotatus,diantaeus,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus dorsalis,,663928,Ochlerotatus,dorsalis,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus eatoni,,1712862,Ochlerotatus,eatoni,,2018/10/29 00:00
active,species,mosquitos,Aedes echinus,,2575619,Aedes,echinus,,2019/05/17 00:00
active,species,mosquitos,Ochlerotatus euedes,,743690,Ochlerotatus,euedes,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus excrucians,,329103,Ochlerotatus,excrucians,,2018/10/29 00:00
active,species,mosquitos,Ochlerotatus flavescens,,662894,Ochlerotatus,flavescens,,2018/10/29 00:00
active,species,mosquitos,Aedes geminus,,401424,Aedes,geminus,,2018/10/29 00:00
active,species,mosquitos,Aedes geniculatus,,120874,Aedes,geniculatus,,2018/10/29 00:00
