scientificname,trait,hits,status,rank,division,commonname,uid,genus,species,subsp,modificationdate
Aedes aegypti,life_hist,142,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,autogeny,54,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,wing_length,100,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,voltinism,0,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,oviposition,458,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,overwinter,42,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,host_pref,922,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,fecundity,234,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes aegypti,R0,195,active,species,mosquitos,yellow fever mosquito,7159,Aedes,aegypti,NA,2018/10/29 00:00
Aedes albopictus,life_hist,75,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Aedes albopictus,autogeny,10,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Aedes albopictus,wing_length,61,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Aedes albopictus,voltinism,1,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Aedes albopictus,oviposition,265,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Aedes albopictus,overwinter,105,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
Aedes albopictus,host_pref,230,active,species,mosquitos,Asian tiger mosquito,7160,Aedes,albopictus,NA,2018/11/26 00:00
