"","label","node","genus","species","scientificname.y","virus_name","vtaxid","interaction","uid","mostaxid","virus_code"
"1","Anopheles_apoci",1,"Anopheles","apoci","Anopheles apoci",NA,NA,NA,262008,262008,NA
"2","Anopheles_superpictus",2,"Anopheles","superpictus","Anopheles superpictus",NA,NA,NA,262673,262673,NA
"3","Anopheles_turkhudi",3,"Anopheles","turkhudi","Anopheles turkhudi",NA,NA,NA,262672,262672,NA
"4","Ochlerotatus_cyprius",4,"Ochlerotatus","cyprius","Ochlerotatus cyprius",NA,NA,NA,662895,662895,NA
"5","Aedes_echinus",5,"Aedes","echinus","Aedes echinus",NA,NA,NA,2575619,2575619,NA
"6","Anopheles_ainshamsi",6,"Anopheles","ainshamsi","Anopheles ainshamsi",NA,NA,NA,622773,622773,NA
"7","Ochlerotatus_eatoni_hewitti_(nomen_nudum)",7,"Ochlerotatus","eatoni","Ochlerotatus eatoni",NA,NA,NA,1712862,1712862,NA
"8","Acartomyia_mariae",8,"Acartomyia","mariae","Acartomyia mariae",NA,NA,NA,120875,120875,NA
"9","Orthopodomyia_pulcripalpis",9,"Orthopodomyia","pulcripalpis","Orthopodomyia pulcripalpis","West Nile virus",11082,1,665338,665338,"WNV"
"10","Uranotaenia_unguiculata",10,"Uranotaenia","unguiculata","Uranotaenia unguiculata","Japanese encephalitis virus",11072,1,559294,559294,"JEV"
"11","Uranotaenia_unguiculata",10,"Uranotaenia","unguiculata","Uranotaenia unguiculata","West Nile virus",11082,1,559294,559294,"WNV"
"12","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","Dengue virus 1",11053,1,7159,7159,"DNV1"
"13","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","Dengue virus 2",11060,1,7159,7159,"DNV2"
"14","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","Dengue virus 3",11069,1,7159,7159,"DNV3"
"15","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","Dengue virus 4",11070,1,7159,7159,"DNV4"
"16","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","Murray Valley encephalitis virus",11079,1,7159,7159,"MVEV"
"17","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","Saint Louis encephalitis virus",11080,1,7159,7159,"SLEV"
"18","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","West Nile virus",11082,1,7159,7159,"WNV"
"19","Aedes_aegypti",11,"Aedes","aegypti","Aedes aegypti","Yellow fever virus",11089,1,7159,7159,"YFV"
"20","Aedes_albopictus",12,"Aedes","albopictus","Aedes albopictus","Dengue virus 1",11053,1,7160,7160,"DNV1"
"21","Aedes_albopictus",12,"Aedes","albopictus","Aedes albopictus","Dengue virus 2",11060,1,7160,7160,"DNV2"
"22","Aedes_albopictus",12,"Aedes","albopictus","Aedes albopictus","Dengue virus 3",11069,1,7160,7160,"DNV3"
