Species,Scopus Hits
Aedes aegypti,51677
Aedes albopictus,20597
Ochlerotatus annulipes,62
Aedes atropalpus,797
Ochlerotatus berlandi,4
Ochlerotatus cantans,143
Ochlerotatus caspius,510
Ochlerotatus cataphylla,52
Aedes cinereus,224
Ochlerotatus communis,138
Aedes cretinus,46
Ochlerotatus cyprius,4
Ochlerotatus detritus,280
Ochlerotatus diantaeus,11
Ochlerotatus dorsalis,113
Ochlerotatus eatoni,3
Aedes echinus,14
Ochlerotatus euedes,14
Ochlerotatus excrucians,31
Ochlerotatus flavescens,17
Aedes geminus,41
Aedes geniculatus,289
Ochlerotatus hexodontus,13
Ochlerotatus hungaricus,8
Ochlerotatus intrudens,11
Aedes japonicus,1471
Aedes koreicus,158
Ochlerotatus leucomelas,8
Acartomyia mariae,2
Ochlerotatus nigrinus,10
Ochlerotatus nigripes,13
Acartomyia phoeniciae,0
Ochlerotatus pionips,3
Ochlerotatus pulcritarsis,4
Ochlerotatus pullatus,16
Ochlerotatus punctor,53
Ochlerotatus refiki,4
Ochlerotatus riparius,23
Aedes rossicus,41
Ochlerotatus rusticus,46
Ochlerotatus sticticus,120
Aedes vexans,1662
Aedes vittatus,234
Acartomyia zammitii,0
Anopheles ainshamsi,4
Anopheles algeriensis,70
Anopheles apoci,8
Anopheles arabiensis,5698
Anopheles atroparvus,858
Anopheles cinereus,201
Anopheles claviger,261
Anopheles coluzzii,773
Anopheles coustani,211
Anopheles culicifacies,2200
Anopheles daciae,39
Anopheles dthali,103
Anopheles fluviatilis,1001
Anopheles hyrcanus,608
Anopheles labranchiae,269
Anopheles maculipennis,1500
Anopheles maculipennis,1500
Anopheles melanoon,49
Anopheles messeae,366
Anopheles multicolor,166
Anopheles persiensis,7
Anopheles petragnani,28
Anopheles pharoensis,396
Anopheles plumbeus,222
Anopheles pulcherrimus,193
Anopheles sacharovi,498
Anopheles stephensi,12098
Anopheles superpictus,275
Anopheles tenebrosus,35
Anopheles turkhudi,34
Anopheles ziemanni,62
Coquillettidia buxtoni,8
Coquillettidia richiardii,85
Culex antennatus,122
Culex deserticola,86
Culex duttoni,19
Culex europaeus,64
Culex hortensis,243
Culex impudicus,15
Culex laticinctus,28
Culex martinii,118
Culex mimeticus,36
Culex modestus,403
Culex perexiguus,103
Culex pipiens,18934
Culex poicilipes,144
Culex pseudovishnui,167
Culex quinquefasciatus,17064
Culex simpsoni,80
Culex sinaiticus,13
Culex sitiens,338
Culex territans,284
Culex thalassius,23
Culex theileri,280
Culex torrentium,351
Culex tritaeniorhynchus,2728
Culex univittatus,561
Culex vagans,19
Culiseta alaskaensis,16
Culiseta annulata,115
Culiseta bergrothi,14
Culiseta fumipennis,5
Culiseta glaphyroptera,3
Culiseta litorea,13
Culiseta longiareolata,596
Culiseta morsitans,165
Culiseta ochroptera,10
Culiseta subochrea,37
Orthopodomyia pulcripalpis,19
Uranotaenia balfouri,2
Uranotaenia unguiculata,433
