"","x"
"1","Acartomyia_mariae"
"2","Acartomyia_phoeniciae"
"3","Acartomyia_zammitii"
"4","Aedes_aegypti"
"5","Aedes_albopictus"
"6","Aedes_cinereus"
"7","Aedes_cretinus"
"8","Aedes_echinus"
"9","Aedes_geniculatus"
"10","Aedes_japonicus"
"11","Aedes_koreicus"
"12","Aedes_rossicus"
"13","Aedes_vexans"
"14","Aedes_vittatus"
"15","Anopheles_ainshamsi"
"16","Anopheles_algeriensis"
"17","Anopheles_apoci"
"18","Anopheles_arabiensis"
"19","Anopheles_atroparvus"
"20","Anopheles_cinereus"
"21","Anopheles_claviger"
"22","Anopheles_coluzzii"
"23","Anopheles_coustani"
"24","Anopheles_culicifacies"
"25","Anopheles_daciae"
"26","Anopheles_dthali"
"27","Anopheles_fluviatilis"
"28","Anopheles_hyrcanus"
"29","Anopheles_labranchiae"
"30","Anopheles_maculipennis"
"31","Anopheles_melanoon"
"32","Anopheles_messeae"
"33","Anopheles_multicolor"
"34","Anopheles_persiensis"
"35","Anopheles_petragnani"
"36","Anopheles_pharoensis"
"37","Anopheles_plumbeus"
"38","Anopheles_pulcherrimus"
"39","Anopheles_sacharovi"
"40","Anopheles_stephensi"
"41","Anopheles_superpictus"
"42","Anopheles_tenebrosus"
"43","Anopheles_turkhudi"
"44","Anopheles_ziemanni"
"45","Coquillettidia_buxtoni"
"46","Coquillettidia_richiardii"
"47","Culex_antennatus"
"48","Culex_deserticola"
"49","Culex_duttoni"
"50","Culex_europaeus"
"51","Culex_hortensis"
"52","Culex_impudicus"
"53","Culex_laticinctus"
"54","Culex_martinii"
"55","Culex_mimeticus"
"56","Culex_modestus"
"57","Culex_perexiguus"
"58","Culex_pipiens_molestus"
"59","Culex_pseudovishnui"
"60","Culex_quinquefasciatus"
"61","Culex_simpsoni"
"62","Culex_sinaiticus"
"63","Culex_sitiens"
"64","Culex_territans"
"65","Culex_thalassius"
"66","Culex_theileri"
"67","Culex_torrentium"
"68","Culex_tritaeniorhynchus"
"69","Culex_univittatus"
"70","Culex_vagans"
"71","Culiseta_alaskaensis"
"72","Culiseta_annulata"
"73","Culiseta_bergrothi"
"74","Culiseta_fumipennis"
"75","Culiseta_glaphyroptera"
"76","Culiseta_litorea"
"77","Culiseta_longiareolata"
"78","Culiseta_morsitans"
"79","Culiseta_ochroptera"
"80","Culiseta_subochrea"
"81","Ochlerotatus_annulipes"
"82","Ochlerotatus_berlandi"
"83","Ochlerotatus_cantans"
"84","Ochlerotatus_caspius"
"85","Ochlerotatus_cataphylla"
"86","Ochlerotatus_communis"
"87","Ochlerotatus_cyprius"
"88","Ochlerotatus_detritus"
"89","Ochlerotatus_diantaeus"
"90","Ochlerotatus_dorsalis"
"91","Ochlerotatus_eatoni_hewitti__nomen_nudum_"
"92","Ochlerotatus_euedes"
"93","Ochlerotatus_excrucians"
"94","Ochlerotatus_flavescens"
"95","Ochlerotatus_hexodontus"
"96","Ochlerotatus_hungaricus"
"97","Ochlerotatus_intrudens"
"98","Ochlerotatus_leucomelas"
"99","Ochlerotatus_nigrinus"
"100","Ochlerotatus_nigripes"
"101","Ochlerotatus_pionips"
"102","Ochlerotatus_pulcritarsis"
"103","Ochlerotatus_pullatus"
"104","Ochlerotatus_punctor"
"105","Ochlerotatus_refiki"
"106","Ochlerotatus_riparius"
"107","Ochlerotatus_rusticus"
"108","Ochlerotatus_sticticus"
"109","Orthopodomyia_pulcripalpis"
"110","Uranotaenia_balfouri"
"111","Uranotaenia_unguiculata"
